page_id,link_number,link_url,link_text,link_title,is_external,scraped_at
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,62,https://www.geeksforgeeks.org/category/blogs/?type=recent,Blogs,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,63,https://www.geeksforgeeks.org/web-tech/web-technology/,Web Technology,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,64,https://www.geeksforgeeks.org/machine-learning/ai-ml-and-data-science-tutorial-learn-ai-ml-and-data-science/,"AI, ML & Data Science",,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,65,https://www.geeksforgeeks.org/gate/gate-exam-tutorial/,CS Core Subjects,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,66,https://www.geeksforgeeks.org/gfg-academy/geeksforgeeks-school/,School Subjects,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,67,https://www.geeksforgeeks.org/courses/category/machine-learning-data-science,ML and Data Science,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,68,https://www.geeksforgeeks.org/courses/category/dsa-placements,DSA and Placements,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,69,https://www.geeksforgeeks.org/courses/category/development-testing,Web Development,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,70,https://www.geeksforgeeks.org/courses/category/programming-languages,Programming Languages,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,71,https://www.geeksforgeeks.org/courses/category/cloud-devops,DevOps & Cloud,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,72,https://www.geeksforgeeks.org/courses/category/gate,GATE,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,73,https://www.geeksforgeeks.org/courses/category/trending-technologies/,Trending Technologies,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,74,https://www.geeksforgeeks.org/courses/offline-courses?city=noida,Noida,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,75,https://www.geeksforgeeks.org/courses/offline-courses?city=bengaluru,Bengaluru,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,76,https://www.geeksforgeeks.org/courses/offline-courses?city=pune,Pune,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,77,https://www.geeksforgeeks.org/courses/offline-courses?city=hyderabad,Hyderabad,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,78,https://www.geeksforgeeks.org/courses/offline-courses?selectedOfflineCity=Kolkata,Kolkata,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,79,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/,Aptitude,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,80,https://www.geeksforgeeks.org/aptitude/puzzles/,Puzzles,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,81,https://www.geeksforgeeks.org/courses/gfg-160-series,GfG 160,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,82,https://www.geeksforgeeks.org/system-design/system-design-tutorial/,System Design,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,83,https://www.geeksforgeeks.org/copyright-information/,All rights reserved,,False,2026-02-16T18:13:46.662213+00:00
